Country_code,Country_name,ISO_Alpha3,Year,Cause_Group,Sex,Total_deaths
1125,Egypt,EGY,2019,V,2,1276
1125,Egypt,EGY,2019,W,1,2539
1125,Egypt,EGY,2019,W,2,742
1125,Egypt,EGY,2019,X,1,328
1125,Egypt,EGY,2019,X,2,177
1125,Egypt,EGY,2019,Y,1,4397
1125,Egypt,EGY,2019,Y,2,1728
1300,Mauritius,MUS,2013,A,1,5224
1300,Mauritius,MUS,2013,A,2,4179
1300,Mauritius,MUS,2013,B,1,104
1300,Mauritius,MUS,2013,B,2,21
1300,Mauritius,MUS,2013,C,1,599
1300,Mauritius,MUS,2013,C,2,579
1300,Mauritius,MUS,2013,D,1,58
1300,Mauritius,MUS,2013,D,2,42
1300,Mauritius,MUS,2013,E,1,1181
1300,Mauritius,MUS,2013,E,2,1145
1300,Mauritius,MUS,2013,F,1,76
1300,Mauritius,MUS,2013,F,2,6
1300,Mauritius,MUS,2013,G,1,78
1300,Mauritius,MUS,2013,G,2,63
1300,Mauritius,MUS,2013,I,1,1538
1300,Mauritius,MUS,2013,I,2,1320
1300,Mauritius,MUS,2013,J,1,466
1300,Mauritius,MUS,2013,J,2,329
1300,Mauritius,MUS,2013,K,1,255
1300,Mauritius,MUS,2013,K,2,93
1300,Mauritius,MUS,2013,L,1,14
1300,Mauritius,MUS,2013,L,2,16
1300,Mauritius,MUS,2013,M,1,10
1300,Mauritius,MUS,2013,M,2,9
1300,Mauritius,MUS,2013,N,1,117
1300,Mauritius,MUS,2013,N,2,89
1300,Mauritius,MUS,2013,O,2,9
1300,Mauritius,MUS,2013,P,1,48
1300,Mauritius,MUS,2013,P,2,39
1300,Mauritius,MUS,2013,Q,1,28
1300,Mauritius,MUS,2013,Q,2,17
1300,Mauritius,MUS,2013,R,1,89
1300,Mauritius,MUS,2013,R,2,132
1300,Mauritius,MUS,2013,V,1,116
1300,Mauritius,MUS,2013,V,2,28
1300,Mauritius,MUS,2013,W,1,57
1300,Mauritius,MUS,2013,W,2,8
1300,Mauritius,MUS,2013,X,1,147
1300,Mauritius,MUS,2013,X,2,58
1300,Mauritius,MUS,2013,Y,1,43
1300,Mauritius,MUS,2013,Y,2,32
1300,Mauritius,MUS,2014,A,1,5255
1300,Mauritius,MUS,2014,A,2,4277
1300,Mauritius,MUS,2014,B,1,105
1300,Mauritius,MUS,2014,B,2,22
1300,Mauritius,MUS,2014,C,1,583
1300,Mauritius,MUS,2014,C,2,556
1300,Mauritius,MUS,2014,D,1,53
1300,Mauritius,MUS,2014,D,2,58
1300,Mauritius,MUS,2014,E,1,1245
1300,Mauritius,MUS,2014,E,2,1201
1300,Mauritius,MUS,2014,F,1,53
1300,Mauritius,MUS,2014,F,2,8
1300,Mauritius,MUS,2014,G,1,82
1300,Mauritius,MUS,2014,G,2,59
1300,Mauritius,MUS,2014,I,1,1589
1300,Mauritius,MUS,2014,I,2,1408
1300,Mauritius,MUS,2014,J,1,529
1300,Mauritius,MUS,2014,J,2,378
1300,Mauritius,MUS,2014,K,1,246
1300,Mauritius,MUS,2014,K,2,96
1300,Mauritius,MUS,2014,L,1,21
1300,Mauritius,MUS,2014,L,2,27
1300,Mauritius,MUS,2014,M,1,10
1300,Mauritius,MUS,2014,M,2,24
1300,Mauritius,MUS,2014,N,1,76
1300,Mauritius,MUS,2014,N,2,65
1300,Mauritius,MUS,2014,O,2,7
1300,Mauritius,MUS,2014,P,1,42
1300,Mauritius,MUS,2014,P,2,43
1300,Mauritius,MUS,2014,Q,1,24
1300,Mauritius,MUS,2014,Q,2,31
1300,Mauritius,MUS,2014,R,1,91
1300,Mauritius,MUS,2014,R,2,89
1300,Mauritius,MUS,2014,V,1,128
1300,Mauritius,MUS,2014,V,2,30
1300,Mauritius,MUS,2014,W,1,105
1300,Mauritius,MUS,2014,W,2,18
1300,Mauritius,MUS,2014,X,1,128
1300,Mauritius,MUS,2014,X,2,58
1300,Mauritius,MUS,2014,Y,1,35
1300,Mauritius,MUS,2014,Y,2,21
1300,Mauritius,MUS,2015,A,1,5363
1300,Mauritius,MUS,2015,A,2,4241
1300,Mauritius,MUS,2015,B,1,92
1300,Mauritius,MUS,2015,B,2,13
1300,Mauritius,MUS,2015,C,1,610
1300,Mauritius,MUS,2015,C,2,596
1300,Mauritius,MUS,2015,D,1,50
1300,Mauritius,MUS,2015,D,2,56
1300,Mauritius,MUS,2015,E,1,1220
1300,Mauritius,MUS,2015,E,2,1126
1300,Mauritius,MUS,2015,F,1,67
1300,Mauritius,MUS,2015,F,2,5
1300,Mauritius,MUS,2015,G,1,99
1300,Mauritius,MUS,2015,G,2,61
1300,Mauritius,MUS,2015,I,1,1724
1300,Mauritius,MUS,2015,I,2,1460
1300,Mauritius,MUS,2015,J,1,525
1300,Mauritius,MUS,2015,J,2,347
1300,Mauritius,MUS,2015,K,1,229
1300,Mauritius,MUS,2015,K,2,97
1300,Mauritius,MUS,2015,L,1,19
1300,Mauritius,MUS,2015,L,2,20
1300,Mauritius,MUS,2015,M,1,3
1300,Mauritius,MUS,2015,M,2,27
1300,Mauritius,MUS,2015,N,1,77
1300,Mauritius,MUS,2015,N,2,62
1300,Mauritius,MUS,2015,O,2,4
1300,Mauritius,MUS,2015,P,1,49
1300,Mauritius,MUS,2015,P,2,54
1300,Mauritius,MUS,2015,Q,1,23
1300,Mauritius,MUS,2015,Q,2,15
1300,Mauritius,MUS,2015,R,1,77
1300,Mauritius,MUS,2015,R,2,77
1300,Mauritius,MUS,2015,V,1,142
1300,Mauritius,MUS,2015,V,2,25
1300,Mauritius,MUS,2015,W,1,95
1300,Mauritius,MUS,2015,W,2,16
1300,Mauritius,MUS,2015,X,1,105
1300,Mauritius,MUS,2015,X,2,47
1300,Mauritius,MUS,2015,Y,1,43
1300,Mauritius,MUS,2015,Y,2,31
1300,Mauritius,MUS,2016,A,1,5517
1300,Mauritius,MUS,2016,A,2,4507
1300,Mauritius,MUS,2016,B,1,113
1300,Mauritius,MUS,2016,B,2,28
1300,Mauritius,MUS,2016,C,1,567
1300,Mauritius,MUS,2016,C,2,637
